"qod","sug","tvnit","kotrt","ktovt","m","l","tarik_jlixa","tarik_hosfa"
"סירוס אדם","מעצם","mcwot","האיסור לסרס אדם","sug/syrws_adm.html",,,,04/07/2004 15:01:14
"סירוס בהמה","מעצם","mcwot","האיסור לסרס בהמה","sug/syrws_bhmh.html",,,,04/07/2004 15:01:14
"ספירת 7 שבתות שנים","מזמן","mcwot","ספירת 7 שבתות שנים","sug/spyrt_7_jbtwt_jnym.html",,,,04/07/2004 15:01:14
"ספירת העומר","מזמן","mcwot","ספירת העומר","sug/spyrt_hewmr.html",,,,04/07/2004 15:01:14
"עבד ניצל","מאדם","mcwot","עבד שניצל מאדוניו וברח אלינו","sug/ebd_nycl.html",,,,04/07/2004 15:01:14
"העבדת כלאי בהמה","מעצם","mcwot","איסור העבדת שני מיני בהמות יחד","sug/ebwdh_bklay_bhmh.html",,,,04/07/2004 15:01:14
"העבדת קדשים","מעצם","mcwot","איסור העבדת בהמות מקודשות","sug/ebwdh_bqdjym.html",,,,04/07/2004 15:01:14
"עבודת אלילים","מעצם","mcwot","עבודת אלילים","sug/ebwdt_alylym.html",,,,04/07/2004 15:01:14
"העבדת בהמה","מעצם","mcwot","העבדת בהמות","sug/ebwdt_bhmh.html",,,,04/07/2004 15:01:14
"עבודת בעלי-מום במקדש","מרצון","mcwot","איסור עבודת בעלי-מום במקדש","sug/ebwdt_bely-mwm_bmqdj.html",,,,04/07/2004 15:01:14
"עבודת זרים במקדש","מרצון","mcwot","איסור עבודת זרים (=לא כהנים) במקדש","sug/ebwdt_zrym_bmqdj.html",,,,04/07/2004 15:01:14
"עבודת טמאים במקדש","מארוע","mcwot","איסור עבודת טמאים במקדש","sug/ebwdt_fmaym_bmqdj.html",,,,04/07/2004 15:01:14
"עבודת יום הכיפורים","מזמן","mcwot","עבודת יום הכיפורים","sug/ebwdt_ywm_hkypwrym.html",,,,04/07/2004 15:01:14
"העבדת עבד עברי","מאדם","mcwot","העבדת עבד עברי","sug/ebwdt_ebd_ebry.html",,,,04/07/2004 15:01:14
"עד רשע","מאדם","mcwot","עד רשע","sug/ed_rje.html",,,,04/07/2004 15:01:14
"עדות אמת","מארוע","mcwot","עדות אמת","sug/edwt_amt.html",,,,04/07/2004 15:01:14
"עדות בדיני נפשות","מארוע","mcwot","עדות בדיני נפשות","sug/edwt_bdyny_npjwt.html",,,,04/07/2004 15:01:14
"עדות הקרובים","מארוע","mcwot","האיסור לקבל את עדותם של קרובי משפחה","sug/edwt_hqrwbym.html",,,,04/07/2004 15:01:14
"הקרבת עולה","מרצון","mcwot","הקרבת עולה","sug/ewlh.html",,,,04/07/2004 15:01:14
"עונן","מרצון","mcwot","עונן","sug/ewnn.html",,,,04/07/2004 15:01:14
"עונש מוות למכשפה","מאדם","mcwot","עונש מוות למכשפה","sug/ewnj_mwwt_lmkjph.html",,,,04/07/2004 15:01:14
"עינוי אלמנה","מאדם","mcwot","עינוי אלמנה","sug/eynwy_almnh.html",,,,04/07/2004 15:01:14
"עינוי יתום","מאדם","mcwot","עינוי יתום","sug/eynwy_ytwm.html",,,,04/07/2004 15:01:14
"עריפת העגלה","מארוע","mcwot","עריפת העגלה","sug/erypt_heglh.html",,,,04/07/2004 15:01:14
"ערלה","מעצם","mcwot","ערלה = פרי העץ בשלוש השנים הראשונות לאחר הנטיעה","sug/erlh.html",,,,04/07/2004 15:01:14
"עשיית פסל","מרצון","mcwot","עשיית פסל","sug/ejyyt_psl.html",,,,04/07/2004 15:01:14
"פאת הזקן","מעצם","mcwot","איסור השחתת פאת הזקן (גילוח בתער)","sug/pat_hzqn.html",,,,04/07/2004 15:01:14
"פאת הכרם","מעצם","mcwot","פאה = קצה הכרם","sug/pat_hkrm.html",,,,04/07/2004 15:01:14
"פאת הראש","מעצם","mcwot","איסור השחתת פאת הראש","sug/pat_hraj.html",,,,04/07/2004 15:01:14
"פאת השדה","מעצם","mcwot","פאה = קצה השדה","sug/pat_hjdh.html",,,,04/07/2004 15:01:14
"פגעי בהמה","מארוע","mcwot","פגעי בהמה","sug/pgey_bhmh.html",,,,04/07/2004 15:01:14
"יראת המקדש","מעצם","mcwot","יראת-כבוד כלפי המקדש","sug/yrat_hmqdj.html",,,,14/07/2004 10:29:13
"פדיון אמה עבריה","מאדם","mcwot","פדיון אמה עבריה","sug/pdywn_amh_ebryh.html",,,,04/07/2004 15:01:14
"פדיון קדשים בעלי מום","מארוע","mcwot","פדיון קדשים בעלי מום","sug/pdywn_qdjym_bely_mwm.html",,,,04/07/2004 15:01:14
"פחד ממלחמה","מארוע","mcwot","האיסור לפחד מהאויבים בזמן מלחמה","sug/pxd_mmlxmh.html",,,,04/07/2004 15:01:14
"פטור לאנוסים","מארוע","mcwot","פטור לאנוסים","sug/pfwr_lanwsym.html",,,,04/07/2004 15:01:14
"פיתוי","מארוע","mcwot","פיתוי","sug/pytwy.html",,,,04/07/2004 15:01:14
"פרה אדומה","מארוע","mcwot","פרה אדומה","sug/prh_adwmh.html",,,,04/07/2004 15:01:14
"פרט הכרם","מעצם","mcwot","פרט = ענבים בודדים שנשארים על הגפן","sug/prf_hkrm.html",,,,04/07/2004 15:01:14
"צבא המלך","מרצון","mcwot","צבא המלך - שלא ירבה לו סוסים","sug/cba_hmlk.html",,,,04/07/2004 15:01:14
"נתינת כסף לעניים","מאדם","mcwot","החובה לתת הלואה או צדקה לעניים, לפי צרכיהם של המקבלים","sug/cdqh_lenyym.html",,,,04/07/2004 15:01:14
"ציות לנביא","מאדם","mcwot","ציות לנביא","sug/cywt_lnbya.html",,,,04/07/2004 15:01:14
"ציות לשופט","מאדם","mcwot","ציות לשופט","sug/cywt_ljwpf.html",,,,04/07/2004 15:01:14
"ציעור אזרח","מאדם","mcwot","האיסור לצער אדם מישראל בדברים","sug/cyewr_azrx.html",,,,04/07/2004 15:01:14
"ציעור גר","מאדם","mcwot","האיסור לצער גר בדברים","sug/cyewr_gr.html",,,,04/07/2004 15:01:14
"צרעת הבגד","מארוע","mcwot","צרעת הבגד","sug/cret_hbgd.html",,,,04/07/2004 15:01:14
"צרעת הבית","מארוע","mcwot","צרעת הבית","sug/cret_hbyt.html",,,,04/07/2004 15:01:14
"צרעת הגוף","מארוע","mcwot","צרעת הגוף","sug/cret_hgwp.html",,,,04/07/2004 15:01:14
"קבורה","מארוע","mcwot","קבורה","sug/qbwrh.html",,,,04/07/2004 15:01:14
"קדושת בגדי כהונה","מעצם","mcwot","קדושת בגדי כהונה","sug/qdwjt_bgdy_khwnh.html",,,,04/07/2004 15:01:14
"קידוש היובל","מזמן","mcwot","קידוש היובל","sug/qydwj_hywbl.html",,,,04/07/2004 15:01:14
"קידוש השבת","מזמן","mcwot","קידוש השבת","sug/qydwj_hjbt.html",,,,04/07/2004 15:01:14
"קידוש השם","מרגע","mcwot","קידוש השם","sug/qydwj_hjm.html",,,,04/07/2004 15:01:14
"קידוש כהנים","מאדם","mcwot","קידוש כהנים","sug/qydwj_khnym.html",,,,04/07/2004 15:01:14
"קיום הנדר","מרצון","mcwot","קיום הנדר","sug/qywm_hndr.html",,,,04/07/2004 15:01:14
"קיום נדרים בחגים","מרצון","mcwot","קיום נדרים בחגים","sug/qywm_ndrym_bxgym.html",,,,04/07/2004 15:01:14
"קללת אדם","מאדם","mcwot","האיסור לקלל כל אדם מישראל","sug/qllt_adm.html",,,,04/07/2004 15:01:14
"קללת נשיא","מאדם","mcwot","האיסור לקלל את הנשיא","sug/qllt_njya.html",,,,04/07/2004 15:01:14
"קללת שופט","מאדם","mcwot","האיסור לקלל שופט","sug/qllt_jwpf.html",,,,04/07/2004 15:01:14
"קסמים","מרצון","mcwot","קסמים","sug/qsmym.html",,,,04/07/2004 15:01:14
"קרבן הנזיר","מרצון","mcwot","קרבן הנזיר","sug/qrbn_hnzyr.html",,,,04/07/2004 15:01:14
"קרבן זב","מארוע","mcwot","קרבן שמביא זב לאחר שנתרפא ממחלתו","sug/qrbn_zb.html",,,,04/07/2004 15:01:14
"קרבן זבה","מארוע","mcwot","קרבן שמביאה זבה לאחר שנתרפאה ממחלתה","sug/qrbn_zbh.html",,,,04/07/2004 15:01:14
"קרבן יולדת","מארוע","mcwot","קרבן שמביאה יולדת לאחר שהיא נטהרת","sug/qrbn_ywldt.html",,,,04/07/2004 15:01:14
"קרבן מנחת חטים","מזמן","mcwot","מנחת חטים = קרבן שמקריבים בחג השבועות, מביכורי קציר חיטים","sug/qrbn_mnxt_xfym.html",,,,04/07/2004 15:01:14
"קרבן מצורע","מארוע","mcwot","קרבן מצורע","sug/qrbn_mcwre.html",,,,04/07/2004 15:01:14
"קרבן עומר שעורים","מזמן","mcwot","קרבן עומר שעורים","sug/qrbn_ewmr_jewrym.html",,,,04/07/2004 15:01:14
"קרבן פסח על חמץ","מזמן","mcwot","איסור הקרבת קרבן פסח כל עוד יש חמץ בבית","sug/qrbn_psx_el_xmc.html",,,,04/07/2004 15:01:14
"קרחה על מת","מעצם","mcwot","איסור קרחה על מת","sug/qrxh_el_mt.html",,,,04/07/2004 15:01:14
"קריאה לשלום לבני לוט","מארוע","mcwot","קריאה לשלום לבני לוט","sug/qryah_ljlwm_lbny_lwf.html",,,,04/07/2004 15:01:14
"קריאה לשלום לערים","מארוע","mcwot","קריאה לשלום לערי האויב","sug/qryah_ljlwm_lerym.html",,,,04/07/2004 15:01:14
"קריאת שמע","מזמן","mcwot","קריאת שמע","sug/qryat_jme.html",,,,04/07/2004 15:01:14
"קריבה לעריות","מרצון","mcwot","קריבה לעריות","sug/qrybh_lerywt.html",,,,04/07/2004 15:01:14
"קרקע עריפת העגלה","מארוע","mcwot","איסור זריעה בקרקע שבה ערפו את העגלה","sug/qrqe_erypt_heglh.html",,,,04/07/2004 15:01:14
"ראיית חג","מזמן","mcwot","המצוה להיראות בבית-המקדש בשלושת הרגלים","sug/rayyt_xg.html",,,,04/07/2004 15:01:14
"ראיית חמץ","מזמן","mcwot","ראיית חמץ","sug/rayyt_xmc.html",,,,04/07/2004 15:01:14
"ראשית הגז","מזמן","mcwot","ראשית הגז","sug/rajyt_hgz.html",,,,04/07/2004 15:01:14
"רכוש המלך","מרצון","mcwot","רכוש המלך","sug/rkwj_hmlk.html",,,,04/07/2004 15:01:14
"רצח","מאדם","mcwot","איסור רציחה","sug/rcx.html",,,,04/07/2004 15:01:14
"שבועה באלילים","מרצון","mcwot","שבועה באלילים","sug/jbweh_balylym.html",,,,04/07/2004 15:01:14
"שבועת אמת","מרצון","mcwot","שבועת אמת","sug/jbwet_amt.html",,,,04/07/2004 15:01:14
"שביתה ביום כיפור","מזמן","mcwot","שביתה ביום כיפור","sug/jbyth_bywm_kypwr.html",,,,04/07/2004 15:01:14
"שביתה בסוכות","מזמן","mcwot","שביתה בסוכות","sug/jbyth_bswkwt.html",,,,04/07/2004 15:01:14
"שביתה בפסח","מזמן","mcwot","שביתה בפסח","sug/jbyth_bpsx.html",,,,04/07/2004 15:01:14
"שביתה בראש השנה","מזמן","mcwot","שביתה בראש השנה","sug/jbyth_braj_hjnh.html",,,,04/07/2004 15:01:14
"שביתה בשבועות","מזמן","mcwot","שביתה בשבועות","sug/jbyth_bjbwewt.html",,,,04/07/2004 15:01:14
"שביתה בשבת","מזמן","mcwot","שביתה בשבת","sug/jbyth_bjbt.html",,,,04/07/2004 15:01:14
"שביתת אדמות ביובל","מזמן","mcwot","שביתת אדמות ביובל","sug/jbytt_admwt_bywbl.html",,,,04/07/2004 15:01:14
"שביתת אדמות בשביעית","מזמן","mcwot","שביתת אדמות בשביעית","sug/jbytt_admwt_bjbyeyt.html",,,,04/07/2004 15:01:14
"שגגת בית-דין","מארוע","mcwot","שגגת בית-דין","sug/jggt_byt-dyn.html",,,,04/07/2004 15:01:14
"שגגת יחיד","מארוע","mcwot","שגגת יחיד","sug/jggt_yxyd.html",,,,04/07/2004 15:01:14
"שוחד","מארוע","mcwot","איסור לקיחת שוחד","sug/jwxd.html",,,,04/07/2004 15:01:14
"שופר ביובל","מזמן","mcwot","שופר ביובל","sug/jwpr_bywbl.html",,,,04/07/2004 15:01:14
"שופר בראש השנה","מזמן","mcwot","שופר בראש השנה","sug/jwpr_braj_hjnh.html",,,,04/07/2004 15:01:14
"שור הנסקל","מרצון","mcwot","בהמה שהרגה אדם ונדונה לסקילה","sug/jwr_hnsql.html",,,,04/07/2004 15:01:14
"שחיטת בהמה ובנה","מרצון","mcwot","איסור שחיטת בהמה ובנה","sug/jxyft_bhmh_wbnh.html",,,,04/07/2004 15:01:14
"שחרור עבד עברי","מאדם","mcwot","שחרור עבד עברי","sug/jxrwr_ebd_ebry.html",,,,04/07/2004 15:01:14
"שחרור קרקעות ביובל","מזמן","mcwot","שחרור קרקעות ביובל","sug/jxrwr_qrqewt_bywbl.html",,,,04/07/2004 15:01:14
"שירותים במחנה","מארוע","mcwot","שירותים במחנה","sug/jyrwtym_bmxnh.html",,,,04/07/2004 15:01:14
"שכחה בשדה","מעצם","mcwot","שכחה = קבוצה של שיבולים שנשכחה בשדה","sug/jkxh_bjdh.html",,,,04/07/2004 15:01:14
"שכר שכיר","מרצון","mcwot","שכר שכיר","sug/jkr_jkyr.html",,,,04/07/2004 15:01:14
"הקרבת שלמים","מרצון","mcwot","הקרבת שלמים","sug/jlmym.html",,,,04/07/2004 15:01:14
"שמחת הנישואין","מרצון","mcwot","שמחת הנישואין","sug/jmxt_hnyjwayn.html",,,,04/07/2004 15:01:14
"שמחת חג","מזמן","mcwot","שמחת חג","sug/jmxt_xg.html",,,,04/07/2004 15:01:14
"שמיטת היבול ביובל","מזמן","mcwot","שמיטת היבול ביובל","sug/jmyft_hybwl_bywbl.html",,,,04/07/2004 15:01:14
"שמיטת היבול בשביעית","מזמן","mcwot","שמיטת היבול בשביעית","sug/jmyft_hybwl_bjbyeyt.html",,,,04/07/2004 15:01:14
"שמיטת חובות בשביעית","מזמן","mcwot","שמיטת חובות בשביעית","sug/jmyft_xwbwt_bjbyeyt.html",,,,04/07/2004 15:01:14
"שמירת חינם","מרצון","mcwot","שמירת חינם","sug/jmyrt_xynm.html",,,,04/07/2004 15:01:14
"העבדת נכרים","מאדם","mcwot","העבדת עבדים נכרים","sug/jebwd_nkrym.html",,,,04/07/2004 15:01:14
"שעטנז","מרצון","mcwot","איסור לבישת שעטנז = צמר ופשתים טוויים יחד","sug/jefnz.html",,,,04/07/2004 15:01:14
"כניסה למקדש פרוע שער","מרצון","mcwot","שער הכהנים","sug/jer_hkhnym.html",,,,04/07/2004 15:01:14
"שער וצרעת","מארוע","mcwot","שער הנֶתֶק = שער שגדל בעור הנגוע בצרעת, שמשמש כסימן לבדיקת חומרת הנגע","sug/jer_wcret.html",,,,04/07/2004 15:01:14
"שריפת בשר קודש שנטמא","מארוע","mcwot","שריפת בשר קודש שנטמא","sug/jrypt_bjr_qwdj_jnfma.html",,,,04/07/2004 15:01:14
"שריפת נותר","מארוע","mcwot","שריפת נותר","sug/jrypt_nwtr.html",,,,04/07/2004 15:01:14
"תחום שבת","מזמן","mcwot","תחום שבת","sug/txwm_jbt.html",,,,04/07/2004 15:01:14
"תמורת קדשים","מרצון","mcwot","תמורת קדשים","sug/tmwrt_qdjym.html",,,,04/07/2004 15:01:14
"קרבן תמיד","מזמן","mcwot","קרבן תמיד","sug/tmyd.html",,,,04/07/2004 15:01:14
"תענית ביום כיפור","מזמן","mcwot","תענית = האיסור להתענג ביום כיפור","sug/tenyt_bywm_kypwr.html",,,,04/07/2004 15:01:14
"תרומה גדולה","מזמן","mcwot","תרומה גדולה","sug/trwmh_gdwlh.html",,,,04/07/2004 15:01:14
"תרומת מעשר","מזמן","mcwot","תרומת מעשר","sug/trwmt_mejr.html",,,,04/07/2004 15:01:14
"אכילת בשר","מרצון","mcwot","אכילת בשר","sug/akylt_bjr.html",,,,04/07/2004 15:06:19
"אכילת זבח בטומאה","מארוע","mcwot","אכילת זבח בטומאה","sug/akylt_zbx_bfwmah.html",,,,04/07/2004 15:06:21
"אלילים","מעצם","mcwot_ecm","אלילים","sug/ecm_alylym.html",,,,05/07/2004 7:49:13
"אלמנה","מאדם","mcwot_ecm","היחס לאלמנות","sug/ecm_adm_almnh.html",,,,05/07/2004 7:49:13
"לבישה - כלי קודש - כהן","מעצם","mcwot_ecm","בגד קודש","sug/ecm_bgd_qwdj.html",,,,05/07/2004 7:49:13
"חיות","מעצם","mcwot_ecm","היחס לבהמות ויצורים חיים אחרים","sug/ecm_bhmh.html",,,,05/07/2004 7:49:13
"בהמה שהוקדשה","מעצם","mcwot_ecm","בהמה שהוקדשה","sug/ecm_bhmh_jhwqdjh.html",,,,05/07/2004 7:49:13
"בשר קודש - חג פסח","מעצם","mcwot_ecm","בשר זבח הפסח","sug/ecm-erua_bjr-psx.html",,,,05/07/2004 7:49:13
"בשר קודש","מעצם","mcwot_ecm","בשר קודש","sug/ecm_bjr_qwdj.html",,,,05/07/2004 7:49:13
"הילדים","מאדם","mcwot_ecm","בין אדם לילדיו","sug/ecm_adm_yld.html",,,,05/07/2004 7:49:13
"יתום","מאדם","mcwot_ecm","היחס ליתומים","sug/ecm_adm_ytwm.html",,,,05/07/2004 7:49:13
"כהן","מאדם","mcwot_ecm","היחס לכהנים","sug/ecm_adm_khn.html",,,,05/07/2004 7:49:13
"לחם קודש","מעצם","mcwot_ecm","לחם קודש - מנחה","sug/ecm_lxm_qwdj.html",,,,05/07/2004 7:49:13
"אכילה - מזון","מעצם","mcwot_rcon","מזון ואכילה","sug/rcon_akylh_mzwn.html",,,,05/07/2004 7:49:13
"מוות אדם - אדם מת","מאדם","mcwot_ecm","היחס לאנשים מתים","sug/ecm_mt.html",,,,05/07/2004 7:49:13
"נביא","מאדם","mcwot_ecm","היחס לנביאים","sug/ecm_adm_nbya.html",,,,05/07/2004 7:49:13
"נכרי","מאדם","mcwot_ecm","היחס לנכרים","sug/ecm_adm_nkry.html",,,,05/07/2004 7:49:13
"נשיא","מאדם","mcwot_ecm","היחס לנשיאים ולמלכים","sug/ecm_adm_njya.html",,,,05/07/2004 7:49:13
"עובד אלילים","מאדם","mcwot_ecm","היחס לעובדי אלילים","sug/ecm_adm_ewbd_alylym.html",,,,05/07/2004 7:49:13
"פרי הגפן - אכילה","מעצם","mcwot_ecm","פרי הגפן: ענבים, יין","sug/ecm_enbym.html",,,,05/07/2004 7:49:13
"פרי העץ","מעצם","mcwot_ecm","פרי העץ","sug/ecm_pyrwt.html",,,,05/07/2004 7:49:13
"קרובי משפחה","מאדם","mcwot_ecm","היחס לקרובי משפחה","sug/ecm_adm_qrwbym.html",,,,05/07/2004 7:49:13
"כניסה למקדש בקרעים","מרצון","mcwot","כניסה למקדש בקרעים","sug/knysh_lmqdj_bqreym.html",,,,04/07/2004 15:06:21
"לימוד תורה","מרגע","mcwot","לימוד תורה","sug/lymwd_twrh.html",,,,04/07/2004 15:06:21
